policy_id,age,vehicle_price,annual_premium,claim_amount,accident_severity,past_claims,policy_tenure_months,fraud_reported
1,56,1437715,57877,74964,1,4,104,0
2,69,1429024,21163,168509,0,4,80,0
3,46,1154480,58728,119006,1,1,31,0
4,32,435659,10782,50583,0,4,53,0
5,60,589678,27641,38392,0,2,106,0
6,25,1054016,23792,7461,0,1,25,0
7,38,1353113,54492,100123,0,2,44,0
8,56,1064909,40585,10516,0,1,12,0
9,36,441983,35682,148586,1,4,90,0
10,40,988260,52864,121251,0,2,101,1
11,28,1250493,23880,167340,0,2,112,0
12,28,482762,43067,167860,2,2,97,0
13,41,986275,47685,192121,0,1,92,0
14,70,771650,23073,62493,0,3,9,0
15,53,482272,41035,36027,1,4,12,0
16,57,585925,42174,93547,2,2,69,0
17,41,966641,29837,173921,1,5,54,0
18,20,914743,22826,100127,1,3,116,0
19,39,789833,29981,148930,2,5,54,0
20,70,1330756,15382,79003,0,4,28,0
21,19,603081,9437,183467,2,4,56,0
22,41,1119723,10435,39758,0,2,99,0
23,61,501953,29819,54312,2,2,69,0
24,47,578892,41875,68670,0,1,98,0
25,55,205287,36982,82279,1,3,110,0
26,19,1257088,38328,15434,0,3,98,0
27,38,856702,17329,195119,1,2,77,0
28,50,1357448,30169,178847,0,4,103,0
29,29,293070,26932,75769,2,2,106,0
30,39,822117,39594,66677,2,4,109,0
31,61,1144118,16421,83555,0,4,112,0
32,42,1211293,50033,128379,2,2,58,0
33,66,1290654,12629,176806,1,0,78,0
34,44,807812,13325,101665,1,3,75,0
35,59,427645,57290,171675,0,5,42,0
36,45,986667,33495,68803,0,4,38,0
37,33,1375885,36750,170404,0,4,68,1
38,32,1088266,34619,91703,0,0,53,0
39,64,546699,45461,21312,2,5,33,0
40,68,586594,13264,175251,0,1,71,0
41,61,972608,17686,117961,2,0,56,0
42,72,1292501,51484,40379,0,5,105,0
43,69,1244027,29226,17297,0,0,72,0
44,74,337023,11721,2011,1,4,101,1
45,20,1335964,25609,120234,2,3,51,0
46,54,732295,57130,44014,0,0,74,0
47,68,258596,12373,142810,0,1,43,0
48,24,1148027,43675,94333,0,2,15,0
49,38,551005,53895,178570,0,5,38,0
50,26,1073172,33937,11120,0,0,15,0
51,56,722244,10656,139839,0,0,5,0
52,35,879290,13984,22852,0,1,93,0
53,21,699097,34984,79239,1,3,83,0
54,42,849789,58411,132001,0,0,54,1
55,31,1396632,13286,91575,0,0,51,0
56,67,1262636,10901,95040,0,3,10,0
57,26,1029735,36552,148510,1,1,12,0
58,43,1438855,30709,179587,2,5,118,0
59,70,930406,36055,5744,0,5,4,0
60,19,1288287,42685,173489,1,0,95,0
61,37,1391602,13429,138141,0,3,18,0
62,45,535484,19716,42359,0,0,80,0
63,64,665317,53563,150871,0,2,104,0
64,24,1189024,16138,98746,0,5,36,0
65,61,418134,40298,120906,1,4,25,0
66,25,1351550,56112,7597,2,2,87,0
67,64,1398222,28429,47093,0,0,76,0
68,52,1398744,55200,168298,1,1,98,0
69,31,889376,10772,114650,1,5,36,0
70,34,638774,53244,157489,0,4,101,0
71,53,711937,56681,149765,0,2,67,0
72,67,611597,53519,120956,0,5,9,0
73,57,1114228,40732,115598,0,3,61,0
74,21,1153959,44905,184233,0,1,53,0
75,19,292263,22347,133241,0,2,18,0
76,23,1121522,21920,153124,0,3,43,0
77,71,1053938,36822,8036,1,0,35,0
78,59,1472386,51659,31778,1,3,63,0
79,21,1345222,45108,158806,3,2,119,0
80,71,545266,28563,154245,0,2,98,0
81,46,680703,12967,161475,1,0,105,0
82,35,1174323,50183,197393,2,3,78,0
83,43,543054,16871,137416,1,3,4,0
84,61,1106862,33763,18800,0,0,93,0
85,51,1307955,16916,25372,1,3,41,0
86,27,1273629,13734,61516,0,5,45,1
87,53,298723,38613,20538,0,0,50,0
88,31,775644,33179,63918,0,1,79,0
89,48,1053088,59929,146045,1,2,28,0
90,65,1280730,57188,71155,0,1,42,0
91,32,1462518,40262,59500,2,5,80,1
92,25,464480,17677,167647,1,5,76,0
93,31,481173,56871,173333,0,4,116,0
94,40,1045633,23268,110659,2,4,69,0
95,74,1280841,17330,27716,0,4,98,0
96,57,1491898,25733,134308,3,0,106,0
97,38,1234057,42947,146920,0,3,1,0
98,33,1423520,32286,2352,0,5,39,1
99,62,1403358,11610,133004,1,1,96,1
100,35,1320483,11430,76449,1,1,90,0
101,64,402967,44922,8556,1,1,17,0
102,70,264772,18828,86836,3,1,112,0
