policy_id,age,vehicle_price,annual_premium,claim_amount,accident_severity,past_claims,policy_tenure_months,fraud_reported,claim_to_vehicle_ratio,premium_to_vehicle_ratio,past_claims_flag,severity_norm,anomaly_score,anomaly_flag,anomaly_label
1,56,1437715,57877,74964,1,4,104,0,0.05214103480798711,0.040256211936154286,1,0.25,0.28,0,Normal
2,69,1429024,21163,168509,0,4,80,0,0.11791886076170816,0.014809398016129878,1,0.0,0.2613,0,Normal
3,46,1154480,58728,119006,1,1,31,0,0.10308181771722531,0.05086961153973084,0,0.25,0.2392,0,Normal
4,32,435659,10782,50583,0,4,53,0,0.11610659688748107,0.024748657209750724,1,0.0,0.2234,0,Normal
5,60,589678,27641,38392,0,2,106,0,0.06510660884989969,0.04687465553292554,1,0.0,0.1209,0,Normal
6,25,1054016,23792,7461,0,1,25,0,0.007078633456576128,0.02257269095280247,0,0.0,0.2761,0,Normal
7,38,1353113,54492,100123,0,2,44,0,0.07399450452807377,0.04027155139921692,1,0.0,0.1062,0,Normal
8,56,1064909,40585,10516,0,1,12,0,0.009875012911889268,0.03811120188560536,0,0.0,0.2324,0,Normal
9,36,441983,35682,148586,1,4,90,0,0.33617959021141036,0.08073142919200695,1,0.25,0.3464,0,Normal
10,40,988260,52864,121251,0,2,101,1,0.12269127285200974,0.05349194190603494,1,0.0,0.1155,0,Normal
11,28,1250493,23880,167340,0,2,112,0,0.13381911468587615,0.019096453081742095,1,0.0,0.1956,0,Normal
12,28,482762,43067,167860,2,2,97,0,0.3477068458021845,0.08920940502896867,1,0.5,0.4448,0,Normal
13,41,986275,47685,192121,0,1,92,0,0.1947943577659803,0.04834853529843573,0,0.0,0.2425,0,Normal
14,70,771650,23073,62493,0,3,9,0,0.08098609345416516,0.029900823040467775,1,0.0,0.1975,0,Normal
15,53,482272,41035,36027,1,4,12,0,0.07470250252450375,0.08508666253346134,1,0.25,0.2449,0,Normal
16,57,585925,42174,93547,2,2,69,0,0.15965668019510995,0.0719783726955281,1,0.5,0.1347,0,Normal
17,41,966641,29837,173921,1,5,54,0,0.1799228669972958,0.0308666497007165,1,0.25,0.2242,0,Normal
18,20,914743,22826,100127,1,3,116,0,0.10945903990624699,0.0249534295934163,1,0.25,0.243,0,Normal
19,39,789833,29981,148930,2,5,54,0,0.18855860851773917,0.0379586090241747,1,0.5,0.2663,0,Normal
20,70,1330756,15382,79003,0,4,28,0,0.05936696181196116,0.01155883455807484,1,0.0,0.2639,0,Normal
21,19,603081,9437,183467,2,4,56,0,0.30421567879658157,0.015647955004460423,1,0.5,0.5081,0,Normal
22,41,1119723,10435,39758,0,2,99,0,0.035506964216181845,0.009319260817844397,1,0.0,0.19,0,Normal
23,61,501953,29819,54312,2,2,69,0,0.1082011499061667,0.05940584196958287,1,0.5,0.1626,0,Normal
24,47,578892,41875,68670,0,1,98,0,0.11862295795596077,0.07233633849433314,0,0.0,0.1455,0,Normal
25,55,205287,36982,82279,1,3,110,0,0.4007979034332255,0.1801469155527844,1,0.25,0.5711,0,Normal
26,19,1257088,38328,15434,0,3,98,0,0.012277571436867238,0.03048948801556612,1,0.0,0.2575,0,Normal
27,38,856702,17329,195119,1,2,77,0,0.2277557099718339,0.02022754676941717,1,0.25,0.2697,0,Normal
28,50,1357448,30169,178847,0,4,103,0,0.13175227945948614,0.02222477603210139,1,0.0,0.2114,0,Normal
29,29,293070,26932,75769,2,2,106,0,0.2585346213033702,0.09189582046671284,1,0.5,0.4191,0,Normal
30,39,822117,39594,66677,2,4,109,0,0.08110392911966409,0.04816096959317276,1,0.5,0.2017,0,Normal
31,61,1144118,16421,83555,0,4,112,0,0.07302999076145052,0.014352528015005432,1,0.0,0.198,0,Normal
32,42,1211293,50033,128379,2,2,58,0,0.10598500446629802,0.041305413879702206,1,0.5,0.1359,0,Normal
33,66,1290654,12629,176806,1,0,78,0,0.1369893581166152,0.009784954151186801,0,0.25,0.3296,0,Normal
34,44,807812,13325,101665,1,3,75,0,0.12585214647449347,0.016495154200291403,1,0.25,0.111,0,Normal
35,59,427645,57290,171675,0,5,42,0,0.40144184676110617,0.1339659437946339,1,0.0,0.5295,0,Normal
36,45,986667,33495,68803,0,4,38,0,0.06973267603692428,0.03394758926001451,1,0.0,0.0599,0,Normal
37,33,1375885,36750,170404,0,4,68,1,0.12385037713880365,0.026710061734765818,1,0.0,0.188,0,Normal
38,32,1088266,34619,91703,0,0,53,0,0.08426516654460715,0.03181112723256333,0,0.0,0.1077,0,Normal
39,64,546699,45461,21312,2,5,33,0,0.038982988842143775,0.08315529540881654,1,0.5,0.4133,0,Normal
40,68,586594,13264,175251,0,1,71,0,0.29875979167909716,0.02261185315251579,0,0.0,0.3419,0,Normal
41,61,972608,17686,117961,2,0,56,0,0.1212830644174586,0.018184080139089807,0,0.5,0.2481,0,Normal
42,72,1292501,51484,40379,0,5,105,0,0.031240957460800835,0.03983282037474604,1,0.0,0.3772,0,Normal
43,69,1244027,29226,17297,0,0,72,0,0.013904027883616768,0.023493040349574126,0,0.0,0.2601,0,Normal
44,74,337023,11721,2011,1,4,101,1,0.005966934105582985,0.03477793866312191,1,0.25,0.4258,0,Normal
45,20,1335964,25609,120234,2,3,51,0,0.08999786671058,0.01916891535332138,1,0.5,0.2737,0,Normal
46,54,732295,57130,44014,0,0,74,0,0.060104110905972445,0.07801490107825251,0,0.0,0.2403,0,Normal
47,68,258596,12373,142810,0,1,43,0,0.5522492526982138,0.047846649419753515,0,0.0,0.5019,0,Normal
48,24,1148027,43675,94333,0,2,15,0,0.08216959865090398,0.03804349719693248,1,0.0,0.1571,0,Normal
49,38,551005,53895,178570,0,5,38,0,0.3240799555721716,0.09781200204716464,1,0.0,0.4703,0,Normal
50,26,1073172,33937,11120,0,0,15,0,0.010361796280748771,0.031623046796742,0,0.0,0.3168,0,Normal
51,56,722244,10656,139839,0,0,5,0,0.19361712438300022,0.014753996220119211,0,0.0,0.33,0,Normal
52,35,879290,13984,22852,0,1,93,0,0.02598912078026501,0.01590372243091309,0,0.0,0.1865,0,Normal
53,21,699097,34984,79239,1,3,83,0,0.11334462407273373,0.05004162506544147,1,0.25,0.1381,0,Normal
54,42,849789,58411,132001,0,0,54,1,0.1553336706715777,0.06873580531660763,0,0.0,0.2142,0,Normal
